id,restaurantName,contactNumber,address,ratingOutOf5,restType,orderOnline,bookTable,locality,votes
446,Black Mug Cafe,"+91 9845561119
+91 8095257151","1-2, Near Bhaganagar Bus Stop, Shankarnaga Road, Bhaganagar Layout, Gottigere, Bannerghatta Road, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,171
447,The Pizzeria,"+91 9845154172
+91 9620344606","1112, 30th Main,Teachers Layout, Next to SBI Bank, 3rd Stage, Banashankari, Bangalore",2.8/5,Casual Dining,Yes,No,Banashankari,45
448,Karma Kaapi,"+91 9380908955
+91 7483024632","81, 36th Cross Road, 5th Block, Jayanagar, Bangalore",4.4/5,Beverage Shop,Yes,No,Banashankari,181
449,Chicken County Grand,"080 26533377
080 26533378","13, Opposite Auchan Hyper Market, Bannerghatta Road, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,320
450,Foodiction,+91 9916107070,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",2.8/5,Quick Bites,Yes,No,Banashankari,506
451,The Onyx - The HHI Select Bengaluru,"+91 9742281239
+91 8884404894","The HHI Select Bengaluru Hotel, 686, 15th Cross, Ring Road, 2nd Phase, JP Nagar, Bangalore",3.3/5,Casual Dining,No,No,Bannerghatta Road,177
452,Bengaluru Coffee House,+91 9740180090,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",4.1/5,Quick Bites,Yes,No,Banashankari,201
453,Seasons,"+91 7411898898
+91 7411798798","7, DSR Galleria, Opp Kalyani Motors, Bilekahalli Gate, Bannerghatta Road, Bangalore",3.8/5,Casual Dining,Yes,Yes,Bannerghatta Road,500
454,Catch-up-ino,"+91 9972988038
+91 9900121238","241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",3.9/5,Cafe,Yes,No,Banashankari,133
455,Wangs Kitchen,080 39253925,"Ground Floor, 148/1 and 148/2, Near HSBC, Bannerghatta Road, Bangalore",3.0/5,Casual Dining,Yes,No,Bannerghatta Road,114
456,Upahara Bhavan,"+91 8746969469
080 40972565","1, Gottigere Main Road, Bannerghatta Road, Bangalore",3.8/5,Quick Bites,Yes,No,Bannerghatta Road,55
457,The Spice Saga,+91 7397773606,"642, 14th Main, Kumaraswamy Layout, Bangalore",3.7/5,Casual Dining,Yes,No,Banashankari,124
458,Onesta,"080 48653961
080 48655715","2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",4.6/5,"Casual Dining, Cafe",Yes,Yes,Banashankari,2556
459,Coconut Grove,"080 48146882
+91 9945058354","296, 100 Feet Ring Road, 5th Phase, JP Nagar, Bangalore",3.4/5,"Casual Dining, Bar",No,No,Bannerghatta Road,97
460,Brewsky,"+91 9880438170
+91 9880661701","55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore",4.4/5,Microbrewery,Yes,Yes,Bannerghatta Road,4312
461,Dande's Hyderabad Biryani,080 41454647,"5, 17th Main, 5th Cross, Behind Vijaya Enclave, Kodichickenahalli Road, Vijaya Bank Layout, Billekahalli, Bannerghatta Road, Bangalore",3.8/5,Casual Dining,Yes,No,Bannerghatta Road,207
462,Mitraa Da Pizza,"+91 7977809237
+91 7752956789","1779, 14th Main, Kumaraswamy Layout, Bangalore",3.8/5,Quick Bites,Yes,No,Banashankari,115
463,Polar Bear,080 45128775,"79, 21st Main, 2nd Stage, Banashankari, Bangalore",3.9/5,Dessert Parlor,Yes,No,Banashankari,116
464,Kanti Sweets,"080 22960634
080 41744131","16, 7th Phase, RBI Layout, Puttenahalli, JP Nagar, Bangalore",4.0/5,Sweet Shop,Yes,No,Bannerghatta Road,182
465,Slate Cafe,+91 8040923832,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",4.1/5,Cafe,Yes,No,Bannerghatta Road,46
466,Aramane Donne Biriyani,"+91 7411877401
+91 7829588445","749, 7th Cross 14th Main, 2nd Stage, BTM, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,189
467,Inchara,080 22449961,"22/1, Krishna Building, Puttenahalli Main Road, 6th Phase, JP Nagar, Bangalore",3.7/5,Casual Dining,No,No,Bannerghatta Road,535
468,Penthouse Cafe,"+91 8884135549
+91 9449449316","1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",4.0/5,Cafe,Yes,No,Basavanagudi,324
469,Hotel Dwarka,"080 25905217
+91 9886757366","Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",4.2/5,Quick Bites,No,No,Banashankari,253
470,Idly Pidly,+91 7022529610,"G-2, Ground Floor, Next To Ample Mart, Begur Hulimavu Road, Akshay Nagar, Bannerghatta Road",3.2/5,Quick Bites,Yes,No,Bannerghatta Road,148
471,Jalsa,"080 42297555
+91 9743772233","942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.1/5,Casual Dining,Yes,Yes,Banashankari,775
472,Toscano,"080 41558423
+91 7619320074","359/38,Next to Fabindia, 7th Cross, 1st Block, Jayanagar, Bangalore",4.3/5,Casual Dining,Yes,Yes,Banashankari,1129
473,1980s Games Cafe,080 41677077,"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore",3.4/5,Cafe,Yes,No,Banashankari,58
474,Punjabi Swag,"+91 9902920892
+91 9902820893","950, 16th Main Road, 2nd Stage, BTM, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,669
475,Cafe Cosy,080 49653354,"433/3/1, 4th Floor, 28th Cross, 10th Main, 4th Block, Jayanagar, Bangalore",4.1/5,Cafe,No,Yes,Basavanagudi,102
476,Late Night,"+91 8884932323
080 65652324","1st Stage, Kumaraswamy Layout, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,288
477,Litti Twist,+91 8884270523,"No 43, 7th Main Road, NS Palaya, BTM 2nd Stage, BTM, Bangalore",4.2/5,Quick Bites,Yes,No,Bannerghatta Road,465
478,Sankranthi Veg Restaurant,+91 8095275614,"986, 1st Block, Vijaya Bank Layout, 4th Stage, BTM, Bangalore",3.0/5,Casual Dining,Yes,No,Bannerghatta Road,102
479,As On Fire,+91 9731111852,"75, 21st Main Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",3.5/5,Food Truck,Yes,No,Banashankari,41
480,Dreamcatcher,"+91 7090470823
+91 7996623818","128/54/10, Ground Floor, Opposite IIM - B, above A2B Dasarapalya, Bannerghatta Road, Bangalore",3.9/5,Cafe,Yes,No,Bannerghatta Road,49
481,Berrylicious,+91 8884511222,"1231/35/2, 24th Main, Opposite Brigade Palm Springs, 7th Phase, JP Nagar, Bangalore",3.8/5,Dessert Parlor,Yes,No,Bannerghatta Road,89
482,Watson's,"+91 7022078777
+91 7022072777","688, 2nd,Floor, 15th cross, 100ft Ring Road, Above Lathangi Ford Showroom, JP Nagar, Bangalore",4.0/5,"Pub, Bar",Yes,Yes,Bannerghatta Road,1010
483,Malhar Maharashtrian Cuisine,+91 9880082094,"16, Survey Number 13, Omkar Nagar, Arekere, Bannerghatta Road, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,101
484,The Chaat Shop,+91 9066510817,"11/4, Old Market Road, V V Puram, Basavanagudi, Bangalore",2.5/5,Quick Bites,Yes,No,Banashankari,35
485,Smacznego,"+91 9945230807
+91 9743804471","2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",4.2/5,Cafe,Yes,No,Banashankari,504
486,Prasiddhi Food Corner,"+91 9448473299
+91 9900330039","25, 9th Cross, 34th Main, ITI Layout, 1st Phase, JP Nagar, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,170
487,Mealer.in,"080 48542046
+91 9513771133","175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore",4.0/5,Delivery,Yes,No,Bannerghatta Road,205
488,Kesariya,080 49653516,"55, Goenka Chambers, Jeevan Griha Colony, 19th Main, Phase 2, JP Nagar, Bangalore",4.2/5,Casual Dining,No,Yes,Bannerghatta Road,1212
489,Coastal Inn,"080 42117811
+91 9740218147","204, Panduranga Nagar, Opposite HSBC, Bannerghatta Road, Bangalore",3.4/5,Casual Dining,No,No,Bannerghatta Road,66
490,Cafe Potpourri,"+91 8884553680
+91 7026274274","204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,132
491,Sri Bhagya Grand,+91 9035066066,"1065/A, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",3.4/5,Casual Dining,Yes,No,Bannerghatta Road,186
492,Cafe Potpourri,"+91 8884553680
+91 7026274274","204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,131
493,Imperial Restaurant,"+91 7338431313
080 26741313","153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",3.7/5,Casual Dining,Yes,No,Banashankari,264
494,Coastal Mama,"080 41723334
080 41733334","312, 2nd Floor, 15th Cross, 100 Feet Road, 5th Phase, JP Nagar, Bangalore",4.1/5,Casual Dining,No,Yes,Bannerghatta Road,466
495,Dadi's Dum Biryani,"+91 7090377777
080 43716050","7, 2nd Floor, Krish Towers, Arekere Signal, Bannerghatta Road, Bangalore",4.0/5,Casual Dining,Yes,Yes,Bannerghatta Road,739
496,Mangalore Pearl,"+91 8880888315
+91 9019966667","197/F, 8th B Main, 27th Cross, 3rd Block, Jayanagar, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,242
497,Upahara Darshini,080 26611355,"DVG Road, Gandhi Bazar, Basavanagudi, Bangalore",4.2/5,Quick Bites,No,No,Banashankari,254
498,Machali Port,"+91 9113260882
+91 9886602028","30, First Floor, 2nd Main, Santrupthi Nagar, Opposite Axis Bank, Kothanur Dinne Main Road, 7th Phase, Bangalore, JP Nagar, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,34
499,Roll Over,"+91 9901999868
+91 9986034959","10, Ground Floor, 24th Main, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore",4.1/5,Dessert Parlor,Yes,No,Bannerghatta Road,237
500,Dev's Gugababa,"+91 9731495358
+91 9880417284","25, 6th main, Mico Layout, BTM layout 2nd Stage, BTM, Bangalore",3.5/5,Quick Bites,Yes,No,Bannerghatta Road,177
501,Ambara Gardenia,"+91 8105266066
+91 9611911066","1065/A, 5th Cross, 13th Main, 2nd Floor, Vijaya Bank Layout, Bannerghatta Road, Bangalore",3.8/5,Casual Dining,Yes,Yes,Bannerghatta Road,257
502,San Churro Cafe,+91 9663487993,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",3.8/5,"Cafe, Casual Dining",Yes,No,Banashankari,918
503,Rolls On Wheels,"+91 9071734101
+91 9071496800","Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",3.6/5,Quick Bites,No,No,Banashankari,299
504,Srinathji's Cafe,"080 26600704
+91 9342593424","112, Bull Temple Road,next to more Basavanagudi, Bangalore",3.8/5,"Casual Dining, Cafe",No,No,Banashankari,148
505,Nandhana Palace,080 49653162,"8 A, ANR Onyx, Near Shoppers Stop, Bannerghatta Road, Bangalore",4.1/5,"Casual Dining, Bar",No,Yes,Bannerghatta Road,1000
506,Deejas Kitchen,+91 7259298695,"309, Sai Nandana Presidency, 5th Main, 11th Cross, Near Rajashri Grandhim Hospitals, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",3.9/5,"Takeaway, Delivery",Yes,No,Bannerghatta Road,73
507,Roll Over,"+91 9901999868
+91 9986034959","10, Ground Floor, 24th Main, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore",4.1/5,Dessert Parlor,Yes,No,Bannerghatta Road,237
508,The Biriyani Pedia,+91 9809202588,"3rd Cross Road, Venkateshwara Layout, Suddagunte Palya, BTM, Bangalore",3.9/5,Quick Bites,Yes,No,Basavanagudi,55
509,SLV Swadishta,+91 9900166783,"76, 21st Main Road, 2nd Stage, Banashankari, Bangalore",3.8/5,Quick Bites,No,No,Banashankari,189
510,Oye Amritsar,"080 49577007
+91 9945524705","72, 2nd Floor, Next to Max & Crossword, 3rd Phase, Inner Ring Road, JP Nagar, Bangalore",3.8/5,Casual Dining,Yes,Yes,Bannerghatta Road,756
511,Central Jail Restaurant,"+91 7337886666
+91 8880004992","433/30/1, 28th Cross, 10th Main, Opposite BDA Complex, 4th Block, Jayanagar, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,412
512,Pancuzzi,+91 9742737794,"24th Main, 2nd Cross, 2nd Phase, JP Nagar, Bangalore",4.2/5,Cafe,Yes,No,Bannerghatta Road,169
513,Capsicum Family Restaurant,080 49652641,"774, 3rd Floor, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",3.8/5,Casual Dining,Yes,No,Bannerghatta Road,254
514,Donne Biriyani House,"+91 8197743537
080 26690642","4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,441
515,Funky Punjab,+91 8884449474,"746, 7th cross, 13th Main, BTM, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,124
516,Caffe Pascucci,080 41200431,"690/8, 14th Main, 15th Cross, 2nd Phase, JP Nagar, Bangalore",4.0/5,Casual Dining,Yes,Yes,Bannerghatta Road,790
517,Darbar,+91 8861271465,"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",3.0/5,Bar,No,No,Banashankari,98
518,Namana Garden,080 41625637,"910, 5th Cross Road, Vijaya Bank Layout, Bilekahalli,BTM, Bangalore",2.6/5,Quick Bites,No,No,Bannerghatta Road,75
519,Chumma Delicious,"+91 9341262402
+91 9108648373","412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,Yes,No,Banashankari,237
520,Dev Sagar - Food Street,"+91 9886204745
0161 26624745","11/2, Old Market, V V Puram, Basavanagudi, Bangalore",4.1/5,Quick Bites,Yes,No,Banashankari,233
521,Swad Restaurant,"080 41722856
+91 9019572354","House 86, Ground Floor 3rd cross 1st Main N.S. Palya, Behind Shoppers Stop, BTM Layout, BTM 2nd stage Bangalore",3.7/5,Casual Dining,Yes,No,Bannerghatta Road,115
522,Srinathji's Cafe,"080 26600704
+91 9342593424","112, Bull Temple Road,next to more Basavanagudi, Bangalore",3.8/5,"Casual Dining, Cafe",No,No,Banashankari,148
523,Wahab,+91 9845088001,"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",3.7/5,Quick Bites,Yes,No,Banashankari,97
524,Swadesh Tadka,"080 42151252
+91 9886681252","101, Manjunatha Complex, Near BDA Complex, 22nd Main, 2nd Stage, Banashankari, Bangalore",3.5/5,Casual Dining,Yes,No,Banashankari,179
525,Flavorsome Bakes,"+91 9739132229
+91 9900766188","Arjun Aura Apartment, Vijaya Bank Layout, Bannerghatta Road, Bangalore",4.0/5,"Takeaway, Delivery",No,No,Bannerghatta Road,93
526,Kundana,080 49652729,"176, 1st Floor, Above Vodafone Store, Opposite Brand Factory, Bannerghatta Road, Bangalore",3.7/5,Casual Dining,Yes,No,Bannerghatta Road,110
527,Canton,"080 41410069
+91 9611320069","28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore",3.6/5,Casual Dining,Yes,No,Banashankari,195
528,Cafe Arabica,"080 64442444
+91 8050042444","4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",3.8/5,"Cafe, Bakery",No,No,Bannerghatta Road,69
529,Vasudev Adiga's,"+91 8494911156
080 22940208","204, Opposite HSBC Bank, 11th KM Stone, Bilekahalli, BG Road, Bannerghatta Road, Bangalore",2.3/5,Casual Dining,No,No,Bannerghatta Road,291
530,Spice Up,"080 26582546
080 32931154","228/A, 9th Main, K.S.R.T.C Layout, 2nd Phase, JP Nagar, Bangalore",3.8/5,Casual Dining,Yes,No,Bannerghatta Road,146
531,Nite Out,"080 48542046
+91 9513771133","175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore",3.9/5,Delivery,Yes,No,Bannerghatta Road,161
532,TGI Fridays,"080 67080290
080 67080291","4th Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",3.9/5,Lounge,Yes,Yes,Bannerghatta Road,1337
533,Ayodhya Upachar,"080 26694999
00 09901269901","199/1, Ajanaya Bhavana, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",4.3/5,Quick Bites,Yes,No,Banashankari,734
534,Flow - Terrace Bar & Grill,+91 9886095845,"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",3.8/5,"Lounge, Bar",No,No,Bannerghatta Road,82
535,San Churro Cafe,+91 9663487993,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",3.8/5,"Cafe, Casual Dining",Yes,No,Basavanagudi,918
536,The Biryani Cafe,+91 7010846043,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",4.1/5,Quick Bites,No,No,Banashankari,520
537,Szechuan Dragon,"00 919663567711
+91 9916326323","8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",4.2/5,Casual Dining,Yes,No,Banashankari,1647
538,Faasos,+91 7700020020,"Shop 161,161A,166, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",3.9/5,Delivery,Yes,No,Bannerghatta Road,251
539,New Prashanth Hotel,"080 26530150
+91 8861190190","2nd Floor, Garla Garnet, 9th Main, 4th Block, Jayanagar, Bangalore",3.6/5,Casual Dining,Yes,No,Banashankari,143
540,The Chervil,"+91 9742891444
+91 9742890444","11-12/49, First Floor, 14th Main, Puttenahalli Road, Kothnur Main Road, Beside Brigade Millenium, 7th Stage, JP Nagar, Bangalore",4.2/5,Casual Dining,Yes,No,Bannerghatta Road,230
541,Hunger Camp,080 45128824,"77B, 2nd Cross, 3rd Main, 4th Phase, JP Nagar, Bangalore",4.6/5,Casual Dining,No,Yes,Bannerghatta Road,311
542,Waffle Walle,+91 8105902392,"Royal Meenakshi Mall, Bannerghatta Road, Bangalore",4.3/5,Kiosk,Yes,No,Bannerghatta Road,676
543,Dwaraka Grand,+91 9448214873,Near dayananda sagar college kumarswamy layout,3.9/5,Casual Dining,Yes,No,Banashankari,128
544,Petoo,+91 9108829009,"31, 7th Phase, JP Nagar, Bangalore",3.7/5,Casual Dining,No,No,Bannerghatta Road,48
545,Ice Thunder,+91 9845366565,"DV Gundappa Road, Gandhi Bazar Circle, Binny Talkies, Basavanagudi, Bangalore",3.8/5,Quick Bites,No,No,Banashankari,124
546,A2B - Adyar Ananda Bhavan,18001036363,"154, Opposite HSBC Bank, Bilekahalli, Bannerghatta Road, Bangalore",2.7/5,Casual Dining,Yes,No,Bannerghatta Road,425
547,Vaho Kafe & Pressery,"+91 9845687999
080 41494199","227,Sitaram Complex, Bilekahalli,opp to IIM-B, Bannerghatta Road, Bangalore",3.9/5,Cafe,No,No,Bannerghatta Road,125
548,Ovenstory Pizza,+91 7738383000,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",3.9/5,Delivery,Yes,No,Banashankari,172
549,Polar Bear,080 49652725,"96, Opposite Jain Collage, Basavanagudi, Bangalore",3.8/5,Dessert Parlor,Yes,No,Banashankari,71
550,Andhra Ruchulu,"+91 8970409660
+91 9900262033","1319, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",4.2/5,Casual Dining,Yes,Yes,Bannerghatta Road,1428
551,Vietnamese Kitchen,"080 26697884
080 26697883","Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore",3.6/5,Casual Dining,Yes,No,Banashankari,105
552,Bharjari Oota,080 26629734,"18, Gandhi Bazar Main Road, Roti Ghar, Basavanagudi, Bangalore",3.9/5,Casual Dining,No,No,Banashankari,153
553,Deccan Spice,"+91 9902528053
080 48651758","4, Sai Arcade,1st Floor, Wilson Garden Society, Kothnur Main Road, 7th Phase, JP Nagar, Bangalore",3.5/5,Casual Dining,No,No,Bannerghatta Road,65
554,Pizza Stop,"+91 9663504448
+91 9880160086","Agastya Suites, 116, 8th Main Road, Next to M.K.Ahmed Retail, 4th Phase, JP Nagar, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,385
555,Chung Wah,"080 41553388
+91 8041604095","14, 2nd Floor, Panchanjanya Tower, Phase III, 3rd Stage, 100 Feet Road, Banashankari, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,519
556,Smacznego,"+91 9945230807
+91 9743804471","2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",4.2/5,Cafe,Yes,No,Basavanagudi,504
557,Sri Lakshmi Dhaba,"+91 8970548240
+91 9739369901","23, 7th Cross, 2nd Main, NS Palya Main Road, 2nd Stage, BTM, Bangalore",2.9/5,Quick Bites,Yes,No,Bannerghatta Road,255
558,Fattoush,"080 41425553
+91 7337830044","128/54/10, First floor, Opposite IIM - B, Dasarapalya, Bannerghatta Road, Bangalore",4.2/5,Casual Dining,Yes,Yes,Bannerghatta Road,1964
559,Vinaya Coffee Moments,"+91 9538699211
080 49566825","Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",3.8/5,Cafe,Yes,No,Bannerghatta Road,46
560,Hakuna Matata,"+91 9741133866
+91 9880548165","1231/35/2, 24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",4.5/5,"Casual Dining, Bar",No,No,Bannerghatta Road,2781
561,Bangalore Agarwal Bhavan,"+91 9880988500
+91 9342943356","36/1, 27th Cross, 4th Block, Jayanagar, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,134
562,The Vintage Cafe,"+91 9880016665
+91 8217311687","146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",3.0/5,Cafe,Yes,No,Banashankari,62
563,Shree Venkateshwara North Karnataka Hotel,+91 8971951073,"31, Police Station Road, Near Gandhi Bazaar, Basavanagudi, Bangalore",4.0/5,Quick Bites,No,No,Banashankari,64
564,Corner House Ice Cream,"080 26713965
+91 9845444155","808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",4.3/5,Dessert Parlor,No,No,Banashankari,345
565,Five Star Chicken,+91 8884121777,"18th Cross road, 5th Phase, JP Nagar, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,62
566,Mudpipe Cafe,+91 9448056565,"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",3.9/5,Cafe,Yes,Yes,Bannerghatta Road,727
567,1980s Games Cafe,080 41677077,"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore",3.4/5,Cafe,Yes,No,Basavanagudi,58
568,Crafted Plate,"080 43023198
+91 8050088287","1304, 1st Floor, 9th Cross, 20th Main, 2nd Phase, JP Nagar, Bangalore",4.2/5,"Casual Dining, Cafe",Yes,Yes,Bannerghatta Road,237
569,Guru Paradise,"+91 7619306668
+91 7619316668","Opposite AECS Magnolia School, Bannerghatta Road, Bangalore",2.9/5,Casual Dining,No,Yes,Bannerghatta Road,200
570,Oye Amritsar,"080 49577007
+91 9945524705","72, 2nd Floor, Next to Max & Crossword, 3rd Phase, Inner Ring Road, JP Nagar, Bangalore",3.8/5,Casual Dining,Yes,Yes,Bannerghatta Road,756
571,Jalsa,"080 42297555
+91 9743772233","942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.1/5,Casual Dining,Yes,Yes,Banashankari,775
572,Chung Wah,"080 41215557
080 41215333","3, Arakere Gate, Bannerghatta Road, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,532
573,Galito's,+91 8067922374,"Vega City Mall, 3rd Floor, Bannerghatta Road, Bangalore",4.6/5,Casual Dining,Yes,No,Bannerghatta Road,404
574,Udupi Sri Krishna Bhavan,080 26676566,"115/116, 1st Floor, Gandhibazaar, Basavanagudi, Bangalore",4.1/5,Quick Bites,No,No,Banashankari,238
575,Sri Laxmi Venkateshwara Coffee Bar,+91 8971691805,"187, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",4.4/5,Quick Bites,No,No,Banashankari,343
576,Empire Restaurant,080 49653266,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",4.4/5,Casual Dining,Yes,No,Basavanagudi,4884
577,#refuel,+91 8971227222,"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,37
578,Karnataka Bhel House,+91 9845100870,"6, 2nd Main, 3rd Cross, Chamrajpet, Basavanagudi, Bangalore",4.1/5,Quick Bites,Yes,No,Banashankari,449
579,Polar Bear,080 49653453,"71, 1st Main Road, Panduranga Nagar, Doresanipalya Ward, Bannerghatta Road, Bangalore",3.9/5,Dessert Parlor,Yes,No,Bannerghatta Road,188
580,Sea Spice by 7 Star,080 49653393,"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore",4.0/5,Casual Dining,Yes,Yes,Banashankari,349
581,Apsara Ice Cream,04 141717410,"1065 B, 5th Cross, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",4.0/5,Dessert Parlor,No,No,Bannerghatta Road,65
582,Magic Meals,"+91 9986281317
+91 8970050267","50/51, 8th F Main, 3rd Block, Jayanagar, Bangalore",3.7/5,"Quick Bites, Dessert Parlor",Yes,No,Banashankari,47
583,Marwa Restaurant,080 49653014,"21, Ground Floor, B.H.C.S.L Layout, Stage 2, Bannerghatta Road, Bangalore",3.5/5,Casual Dining,Yes,Yes,Bannerghatta Road,551
584,FreshMenu,+91 9019245000,"23/24, Ground Floor, 2nd Cross, Arekere Main Road, Bannerghatta Road, Bangalore",3.3/5,Delivery,Yes,No,Bannerghatta Road,628
585,Apna Punjab,+91 7411793215,"26-27, MICO Layout, 6th Main, 2nd Stage, BTM, Bangalore",3.6/5,Quick Bites,Yes,No,Bannerghatta Road,474
586,Sattvam,"080 26595000
+91 9483275526","281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",4.3/5,Casual Dining,No,No,Bannerghatta Road,353
587,The Bong Palate,"+91 6363053927
+91 9886076868","32, 16th Main Road, 1st Cross, Mahadeshwara Nagar, BTM 2nd Stage, Bangalore",3.8/5,Quick Bites,Yes,No,Bannerghatta Road,58
588,Punjabi Nawabi,"+91 9916713131
+91 9916813131","Shop 9, 1st Floor, SBI Building, New DLF New Town, Opposite Ample Mart, Bannerghatta Road, Bangalore",3.8/5,Quick Bites,Yes,No,Bannerghatta Road,312
589,Food Springs,080 42010153,"559, 32nd Cross, 10th A Main, 4th Block, Jayanagar, Bangalore",4.0/5,Quick Bites,Yes,No,Banashankari,232
590,Melt - Eden Park,+91 9606487102,"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",4.0/5,Casual Dining,Yes,Yes,Bannerghatta Road,347
591,California Burrito,080 39515101,"14/1/148/2A, Ground Floor, Near HSBC, Bannerghatta Road, Bangalore",4.0/5,Quick Bites,No,No,Bannerghatta Road,177
592,White Horse,080 26541328,"724, 24th Main, 6th Phase, JP Nagar, Bangalore",3.8/5,Quick Bites,No,No,Bannerghatta Road,177
